Wins Above Replacement--all
4 | Betts | BOS | 68
5 | Santana | CLE | 64
6 | Vogelbach | SEA | 62
7 | Harper | PHI | 59
8 | Bellinger | LAD | 55
9 | Belt | SFG | 54
10 | Soto | WSN | 52
10 | Grandal | MIL | 52
10 | Yelich | MIL | 52


Strikeouts
1 | Santana | SEA | 119
2 | Baez | CHC | 111
3 | Soler | KCR | 109
4 | Harper | PHI | 107
5 | Myers | SDP | 106
6 | Lowe | TBR | 104
7 | Grichuk | TOR | 103
8 | Gallo | TEX | 102
8 | Acuna | ATL | 102
10 | Suarez | CIN | 101
10 | Schwarber | CHC | 101
10 | Odor | TEX | 101


Stolen Bases
1 | Mondesi | KCR | 29
2 | Smith | SEA | 25
3 | Andrus | TEX | 21
3 | Yelich | MIL | 21
5 | Dyson | ARI | 20
6 | Ramirez | CLE | 19
7 | Turner | WSN | 17
7 | Villar | BAL | 17
7 | Kiermaier | TBR | 17
10 | Hamilton | KCR | 16
10 | Gordon | SEA | 16


Singles
1 | LeMahieu | NYY | 79
2 | Merrifield | KCR | 76
3 | Eaton | WSN | 74
3 | Brantley | HOU | 74
5 | Polanco | MIN | 73
6 | McNeil | NYM | 72
6 | Andrus | TEX | 72
6 | Garcia | CHW | 72
6 | Hosmer | SDP | 72
10 | Acuna | ATL | 71


Adjusted OPS+
1 | Trout | LAA | 196
2 | Bellinger | LAD | 191
3 | Yelich | MIL | 185
4 | Alonso | NYM | 162
5 | Bell | PIT | 160
6 | Rendon | WSN | 150
7 | Bregman | HOU | 148
8 | McNeil | NYM | 147
9 | Santana | CLE | 147
10 | Bryant | CHC | 144


Runs Created
1 | Trout | LAA | 102
2 | Bellinger | LAD | 100
3 | Yelich | MIL | 99
4 | Bell | PIT | 83
5 | Freeman | ATL | 81
6 | Alonso | NYM | 78
7 | Arenado | COL | 76
7 | Bregman | HOU | 76
9 | Bryant | CHC | 75
9 | Bogaerts | BOS | 75
9 | Hoskins | PHI | 75
9 | Blackmon | COL | 75


Adj. Batting Runs
1 | Trout | LAA | 49
2 | Bellinger | LAD | 46
3 | Yelich | MIL | 42
4 | Bell | PIT | 32
5 | Alonso | NYM | 31
6 | Bregman | HOU | 26
7 | Santana | CLE | 24
8 | Hoskins | PHI | 24
9 | Bryant | CHC | 23
10 | Freeman | ATL | 23


Adj. Batting Wins
1 | Trout | LAA | 4.5
2 | Bellinger | LAD | 4.2
3 | Yelich | MIL | 3.9
4 | Bell | PIT | 2.9
5 | Alonso | NYM | 2.9
6 | Bregman | HOU | 2.4
7 | Santana | CLE | 2.3
8 | Hoskins | PHI | 2.2
8 | Freeman | ATL | 2.2
8 | Bryant | CHC | 2.2


Extra Base Hits
1 | Bell | PIT | 61
2 | Alonso | NYM | 53
3 | Bellinger | LAD | 52
3 | Yelich | MIL | 52
5 | Trout | LAA | 51
6 | Freeman | ATL | 50
7 | Baez | CHC | 49
8 | Chapman | OAK | 48
8 | Bogaerts | BOS | 48
8 | Blackmon | COL | 48


Times On Base
1 | Trout | LAA | 183
2 | Bellinger | LAD | 167
3 | Betts | BOS | 166
4 | Hoskins | PHI | 162
5 | Freeman | ATL | 161
5 | Yelich | MIL | 161
7 | Bregman | HOU | 160
8 | Santana | CLE | 159
9 | Acuna | ATL | 156
10 | Bryant | CHC | 154


Offensive Win %
1 | Trout | LAA | .835
2 | Yelich | MIL | .833
3 | Bellinger | LAD | .829
4 | Blackmon | COL | .747
5 | Soto | WSN | .739
6 | Bell | PIT | .736
7 | Bryant | CHC | .728
8 | Alonso | NYM | .723
9 | Rendon | WSN | .723
10 | McNeil | NYM | .718


Hit By Pitch
1 | Dietrich | CIN | 17
2 | Robles | WSN | 16
3 | Rizzo | CHC | 14
4 | Locastro | ARI | 13
5 | Alonso | NYM | 12
5 | Gordon | KCR | 12
7 | Turner | LAD | 11
7 | McNeil | NYM | 11
7 | Choo | TEX | 11
